"id","created_at","updated_at","address","code","end_time","latitude","longitude","name","start_time","penalty_cost"
"5","1658895662824","1658895662855","T1, Toà 170 La Thành, P. Ô Chợ Dừa, Q. Đống Đa, Hà Nội","C5","75600","21.0207133","105.8275735","VinMart La Thành","28800","1000"
"22","1658896657216","1658896657242","Số 207 Đức Giang, phường Thượng Thanh, quận Long Biên, Hà Nội","C22","75600","21.0696354","105.8816692","VinMart+ 207 Đức Giang","28800","1000"
"53","1658901064071","1658901064085","102 Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Thành phố Hà Nội","C53","74700","21.0165329","105.805732","WinMart+ 102 Nguyễn Chí Thanh","27900","1100"
"116","1658976045611","1658976045617","WinMart+ Thường Lệ - Khu 10 Thôn, Thượng Lệ, Mê Linh, Hà Nội","C116","73800","21.1823744","105.663981","WinMart+ Thường Lệ, Mê Linh, Hà Nội","27000","1200"
"143","1658978988846","1658978988853","số 82 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Việt Nam","C143","79200","20.9966826","105.8053548","WinMart+ 82 Nguyễn Tuân","28800","1250"
"273","1658998364482","1658998364489","Số 22A phố, Đức Diễn, Phúc Diễn, Bắc Từ Liêm, Hà Nội, Việt Nam","C273","79200","21.0484409","105.7498801","WinMart+ 22A Đức Diễn","27000","1100"
"423","1659221464522","1659221464530","Thôn Hòa Lạc, xã Bình Yên, Thạch Thất, Hà Nội, Việt Nam","C423","79200","21.0075179","105.5415755","Siêu thị Điện máy XANH - Thôn Hòa Lạc","28800","1200"
"461","1659228128994","1659228129006","Khu 6, Trạm Trôi, Huyện Hoài Đức, Thành phố Hà Nội","C461","79200","21.0704196","105.7084982","TH true mart Trạm Trôi Hà Nội","28800","1200"
"259","1658997932755","1658997932780","Số 354-356 Mỹ Đình phường Mỹ Đình 1, Từ Liêm, Hà Nội, Việt Nam","C259","79200","21.0221606","105.771796","WinMart+ N4-A5 Mỹ Đình","27000","1100"
"221","1658996451291","1658996451300","Số 250 P. Minh Khai, Minh Khai, Hai Bà Trưng, Hà Nội, Việt Nam","C221","79200","20.9942444","105.8567243","WinMart+ 250 Minh Khai","27000","1300"
